latitude longitude northCurrent eastCurrent obstacle
0 0 -0.2581998445093632 0.024879458243958652 0
0 1 -0.21895662788301706 -0.02252931013936177 0
0 2 -0.17868934571743011 -0.04769523104187101 0
0 3 -0.18190716952085495 -0.04446015879511833 0
0 4 -0.20943323895335197 -0.054376878309994936 0
0 5 -0.21730854781344533 -0.06068545638117939 0
0 6 -0.22306709457188845 -0.03768848394975066 0
0 7 -0.24836920946836472 -0.04448710265569389 0
0 8 -0.30035863257944584 -0.1570941072423011 0
0 9 -0.32743339985609055 -0.19446457363665104 0
0 10 -0.341056764125824 -0.16602150723338127 0
0 11 -0.29782237112522125 -0.1276194555684924 0
0 12 -0.21227652579545975 -0.09575207508169115 0
0 13 -0.15323269739747047 -0.07470302889123559 0
0 14 -0.07569316402077675 -0.05763605237007141 0
0 15 -0.02260662760818377 -0.025589257129468024 0
0 16 0.030379628005903214 0.04378983884816989 0
0 17 0.07016767701134086 0.1280502127483487 0
0 18 0.08835458336398005 0.13485573325306177 0
0 19 0.08593005803413689 0.11826670239679515 0
0 20 0.043218552600592375 0.14363891631364822 0
0 21 0.012076664599590003 0.09135887399315834 0
0 22 0.021333470940589905 0.07451542839407921 0
0 23 0.0010865129879675806 0.007648749160580337 0
0 24 0.054727276365156285 0.08007461077068001 0
0 25 0.14999910350888968 0.18579282728023827 0
0 26 0.1328441039659083 0.09281464666128159 0
0 27 0.08658381830900908 -0.1107902635121718 0
0 28 0.10545403975993395 -0.20017877127975225 0
0 29 0.14215930993668735 -0.0798067175783217 0
0 30 0.2436776263639331 -0.09053621860221028 0
0 31 0.2603401867672801 -0.025065303896553814 0
0 32 0.22829346358776093 -0.011199814238352701 0
0 33 0.06331613985821605 0.005281936668325216 0
0 34 0.09209475957322866 -0.016012047650292516 0
0 35 0.15005657076835632 -0.03445402346551418 0
0 36 0.15233092568814754 -0.13412493793293834 0
0 37 0.10170965502038598 -0.10075615718960762 0
0 38 -0.06747650203760713 -0.009011323342747346 0
0 39 -0.053270180243998766 -0.14381624571979046 0
0 40 -0.07649362413212657 -0.14485285617411137 0
0 41 -0.07031762972474098 -0.14740113820880651 0
0 42 -0.06359528377652168 -0.1316112643107772 0
0 43 -0.041304854676127434 -0.07816582173109055 0
0 44 -0.037163796136155725 -0.045382491080090404 0
0 45 -0.03691348293796182 -0.02368274563923478 0
0 46 -0.2056556842289865 0.029396044206805527 0
0 47 -0.2990844417363405 -0.05026586228632368 0
0 48 -0.1274842405691743 -0.11459741834551096 0
0 49 0.017291939409915358 -0.19079105975106359 0
1 0 -0.24307864159345627 0.015246709110215306 0
1 1 -0.21203488390892744 -0.014682472654385492 0
1 2 -0.1871401909738779 -0.03637735405936837 0
1 3 -0.18872198555618525 -0.05975458351895213 0
1 4 -0.1959655676037073 -0.06900393590331078 0
1 5 -0.19858441315591335 -0.05883047915995121 0
1 6 -0.24790262850001454 -0.058895248104818165 0
1 7 -0.2946113655343652 -0.12748095928691328 0
1 8 -0.3127106912434101 -0.20806288067251444 0
1 9 -0.28085618652403355 -0.19823906291276217 0
1 10 -0.2509586438536644 -0.15273353271186352 0
1 11 -0.15117179695516825 -0.08793371566571295 0
1 12 -0.09886873513460159 -0.06577317230403423 0
1 13 -0.06759627850260586 -0.052477961289696395 0
1 14 -0.017632344854064286 -0.03083711164072156 0
1 15 0.01380226929904893 -0.0040101252307067625 0
1 16 0.029226683895103633 0.04721714393235743 0
1 17 0.05535070179030299 0.15862916549667716 0
1 18 0.09142032917588949 0.12772672343999147 0
1 19 0.11736034136265516 0.08652761578559875 0
1 20 0.09221954736858606 0.11451907595619559 0
1 21 0.05393964238464832 0.08882501116022468 0
1 22 0.062485110480338335 0.06715379655361176 0
1 23 0.02297818858642131 -0.03389484668150544 0
1 24 0.012233267596457154 0.07265038078185171 0
1 25 0.0446822406956926 0.15989806316792965 0
1 26 0.09089583973400295 0.005437472369521856 0
1 27 0.09946797788143158 -0.13816942740231752 0
1 28 0.2170114889740944 -0.15383885521441698 0
1 29 0.24565088469535112 -0.05128526547923684 0
1 30 0.31075664702802896 -0.08585288072936237 0
1 31 0.3428568057715893 -0.03414972499012947 0
1 32 0.28996608778834343 0.00796935532707721 0
1 33 0.3243273552507162 -0.007230032933875918 0
1 34 0.08327292115427554 0.06572341523133218 0
1 35 0.182815867010504 -0.016112321114633232 0
1 36 0.18757927045226097 -0.0905885857064277 0
1 37 0.2416335055604577 -0.0877049034461379 0
1 38 0.10366137698292732 0.03840695614053402 0
1 39 0.016511710695340298 -0.03982376615749672 0
1 40 -0.015976189224602422 -0.11399602424353361 0
1 41 -0.06358343665488064 -0.1360071999952197 0
1 42 -0.04481474542990327 -0.13424627110362053 0
1 43 -0.007817508419975638 -0.035318695940077305 0
1 44 -0.017858793027698994 -0.05153303837869316 0
1 45 -0.03829886135645211 -0.022166473558172584 0
1 46 -0.07341887772781774 -0.025410148897208273 0
